stream,request_frame,request_ts,branch,response_frame,response_len,entropy,sha256,first16,last16,sum_mod256,xor_all
33,353,1715193167.0359,23,355,3673,7.951131,ca54305606a634e92e70572c1c2006d2cef8fd41bbf48c3ab968626cf813409e,439edb3e6fdd3476d048885b37cbad1c,7b5629b2a8ff156cc3cd5d34ec2d9e60,175,101
35,375,1715193289.400289,17,377,4475,7.952838,e70a8b987da74d94da87741395428e270565259d157fcf9eebc6273853fc7763,3d20183b899289b9703ef801f29c3ac3,10b634e6f38337dab0293d9d413c3715,65,63
36,385,1715193291.175288,14,387,2236,7.915339,454508310f74961ed9d623d3df1fdca603f9d722164076dea24fd22393d95909,d346fe15ad2f4f4849728ad002b74dfc,34ef182ae34f7d249615f91732bb55ae,110,138
37,395,1715193336.772902,15,397,2224,7.916103,a8fec17b9987141e2c2c0efec12a6f079ffa1944eaa3de061ef4a8c8a5f1e944,aa38b0d24c350882a7e20f9f13a9a57a,072016d36917445fa1433efeb8da3ac2,201,53
42,445,1715193596.915276,27,447,5282,7.96679,e2575152b5b11deaa6be1d6183337aa6d0f0c22a3a1fe42d9d99917782dbfbaa,7c96e74084fc31fbdc9231391055c170,6e43d7c145e3e540170b23769593b1d5,10,244
43,461,1715193856.965714,19,463,5144,7.963457,a7b798d608d364b9cdd45b62f554e36c6b5b7d0e56d8e90b1b520b422c5fe301,2b625c9eafd01abc767aba2d9a6eeed6,d40a7f73e2e3ddbd60ab6a938129c451,195,239
44,471,1715193858.274441,32,473,5282,7.970286,ca255cb450c665e0fda7880070a1f846a78e7e3c933504d2e0557aa197b51db8,703c241f60fffd86d9db14606979c9a2,77072cda84d98de704526c30059a61ec,190,130
45,481,1715193876.874222,12,483,1773,7.903407,71e65041c7cb85f80d024ddcfe3da94a00a8dc3659328e02a6c3a0bb26800633,676dcaaf42d3d447a1d5058c3df00030,08ef90b119c40b15dcc8ab70aca04cd2,25,27
61,647,1715195048.438331,26,649,5487,7.968306,9e861791da2ed04f16c01d6be7775da29c085bf9542fe4eecb178a6f37d71348,c97918e91a7c05582df3094f3e3b7d9b,56ca823b6a9237ad91aad59e13edc992,187,69
62,664,1715195363.993703,7,666,4686,7.960603,1486dc18b106ac7866e06ae7c12c738a06be68a4e6adedcb127a12755636b5c3,57ee3090d92e239d294761c1579a0c9b,625493784fda6097aaaaecaf4b41907c,45,199
64,686,1715195441.250553,34,688,5661,7.96323,7b428b4e16e49659a2db92c6408a803cbd0f67dfc2fb75c9f68446cf76a6bcc8,4ec66c0e0cf959cd40d05ba478d25909,05270eadcc796e28eec0bb865e48d1e2,229,81
66,706,1715195604.613301,10,708,5759,7.969498,d02adfd1576adb6e7078922e7f32058a697ff90462b2719d578ab5db42351d3e,94f4f58ef0729f2e99ca0b1994022fb4,253d57dd0533472312113d0948f34e5d,232,196
67,716,1715195699.34183,8,718,5189,7.962719,ff27f307b70e287206d27f5e3d29174878fba46c8de705db0938f011d110b22f,640b5737d82cc298dcdd436b051f9123,94e3360ef593e3fd62b303634c01de60,137,245
69,736,1715195719.097229,12,738,1687,7.896513,395d28eede80bc23a133f0f102d740e567e58ea95bc414c087f82d765067f4ff,9aaab42bbd8ef3ba334c258cf7c332e7,914071552fa90f117970a82335929f42,110,54
71,758,1715196057.613047,21,760,2939,7.932654,1eed08c61453ca73d3928707d31557ab39da7e7a2fd6e828f62198f330b6b268,d656f8009a652b3c1bf21931edeabdb3,83fc2d5680e280b4838c5d235dd53f3d,183,81
73,780,1715196151.022374,1,782,2103,7.904967,e5c03d0d89a44677a2ebd24706fe2f9cd9ddff0e969738dd7a1f25e86d7605e4,544d560bab885cc9038955e7bd39d9af,60487ae571c1ff9d0491a7528943a03c,91,209
76,810,1715196385.793001,9,812,2742,7.933797,4658eb267e95c2f1baba7c9ff41a0b170821439bfce1fa4fc42c61b5ad5811e2,acb1676f01649fe29150bcefb63cf6b9,b54bff129035186edec4442f0867874c,3,3
77,822,1715196442.151917,5,824,3230,7.941368,9b173196092c285a95c98aa74d5d393e39df4fcb38b9ed0904acc7c7dd3a6fda,f9c111c7c72a904a8827f372af150509,3254ecc09a9e15f7b1f217c7d1b857a8,183,167
80,852,1715196624.94065,31,854,3873,7.95771,34d1014ead9f4a7847e0afb30da0e83fe8c86d3d9e1f323ef76396284413d18f,d703462584d4158ce4693a14b7478d6b,dd8dabe15999dbaf2f3c9775c7f99cf0,54,18
86,917,1715197136.354707,32,919,4638,7.960514,c86216bda0764aa72b9f3f9239af50aff2b9b97cb1c416f8d3e9b1fb38601774,4fd48bcbb9f31d79fd1452b60124c9bb,d2b0f65abe78244385ff9a3e4642f328,252,202
88,943,1715197236.707758,20,945,1273,7.860513,c886ecc45281304805dd599f416d501fbf985b3d714ec46e9038409b9e5cd594,d88d4db1e131d237256a57d81495272d,68ae95738497b094baeae2a8ae9c4ef7,130,224
89,953,1715197238.584933,27,955,5163,7.965995,853d92277b8e72e4cdbf0569a13d8efc1085ef309083f6f7d44210b5d15ccc7a,60113afcfd81cd3a2fe589cfcb64de2c,41177e14d282e0a81ce53eff7cf1cc52,212,114
92,985,1715197418.725832,6,987,2893,7.941191,6f1bc2299be00b43de3a58d83ba4fe3c38eeb232a3ab252aff5503fccdd2795a,aabe8e9bcb9815bda637629b3b3c4888,2db9b26844874222907e94b941f99c2f,163,5
95,1015,1715197600.377052,31,1017,1661,7.902107,bb0b09fcf5d283e41d4366069f0d57b4198bec7ebd6e33d2a35ea185f238b5de,121967ae4d8719aa88e2ada70caec210,51b20e56ebd68d67279054bf1fdbcfb9,171,145
97,1035,1715197673.566303,17,1037,3392,7.950775,b44b6e9fbff13cdc17cadf578e4fa0b41204dc41c6c0838c8f2a52666ca8c4b3,8e80be6bbf66b51c97670155f89e91b2,c2070b8bf592d12d97d2fbc1fe198f96,143,19
98,1045,1715197680.373028,32,1047,3799,7.946547,7a6c7667c9e98848f8893d4ebc9b9e6ec016d5030c18caa00384d6660b981481,dbd94c7cb327f883ee3ae6623b0a2186,7991cf526b606d6bf6743563cc479557,250,82
104,1112,1715198332.483898,30,1114,2670,7.915591,13d3467cf5fdc3eff8dc8a7360a32a4174b8bc00a43e15966096287dbe40c1cf,fc89bb89a52bc942040a8e09c2540bfa,6e98c538c06f6f140d4f84d24cd1990a,188,82
105,1122,1715198332.845492,34,1124,4727,7.95464,bc361cf81da9178d57c246146417a41830c3ff12955e7f79ba23defa6f4c6b75,c33ab17feaf508f4cd45a463b8ac0b68,997940f16b182358d9633a2261b64063,79,23
107,1144,1715198421.46496,34,1146,3493,7.95194,049629d7f200906e68622be69bad6f0e786d4fe82946ea0e5cf1a25dae063316,bc8412dac4b7f5b22e7bd29c06fae0ae,1d9909b2e6dfd38e8d31048f9e74080b,102,48
111,1186,1715198877.690145,37,1188,2152,7.911052,f52f9ce0d00a4d58f542951c71c97514952ec22ebacc0f2ab10849d178d74bd9,0d5cab3030cfdc815008981290538378,1434b8cd8a459d272d6f3ad6f0207956,248,220
115,1228,1715199068.802579,2,1230,5485,7.972969,ae62a3de654c6e2a26eedcfa91efbdfe3f848b6782d48fd29e89b3fc828a9cfd,3572b8487ba3b484e3a6f62f167a2656,9a3ee5214c956eda80570ff37771a84f,167,141
125,1332,1715199705.456,19,1334,2762,7.932116,d1321d3b3c9e1f62e0daca50c48ec14ec3bb021a1d594c969d97339d0f1e0b4e,a51dc7449bf5c7961615ae9e147b6424,bf638f0bc38d14b983ccd2ae848ac6db,6,108
126,1342,1715199757.014111,22,1344,4581,7.95964,3a835485c4bd09ad9e491ee67f1c49151ad5436b224418686436fe87d059879a,bcbffd046541208096aa79520800766d,a9cc77e231e40eeda649427e43fad3ff,85,93
129,1372,1715199859.151007,20,1374,5180,7.956875,a1b761741f920f2d3c14a0c0652165b6ddbf9ea1d7f01a8ed988ef9d0fc46def,69b037c75b8787785e3db23e55f690c9,6ad85f2df63f79283ecdc4b697df0736,37,119
132,1404,1715200029.116661,23,1406,5549,7.961161,beb57ed2d9f34fde9e158c53bd7a0aaf7d6cbf9da98d451f1734dfde31529f83,9ee054a2db5a9bfb0c0567b34d38c5c7,af6aa61e2bf0ff7f9ebc10a424a1c5dc,70,6
134,1424,1715200115.999405,32,1426,2329,7.914972,828adf2315a0acc1226fb11498a622db23353c70b3fec01da532e9538918e9ea,5f4a6e3320230cdbcbee6a33f9f182fb,e24ac252e04064c454a9c6aafeeb72aa,53,251
135,1436,1715200169.83458,10,1438,1722,7.895568,93af9f38679b96abedee20ab94b044f8e1f2079f155ecfbbf164bfdc49adb2e9,3d38306ed4746978973556ca727e92db,3585c87c70b5d4ed03c2beea2f48475e,56,204
136,1452,1715200549.492802,19,1454,1924,7.905866,55588a782f3b71994787b087d01bfc9a9447eb35e28e14e75035da68d5b7aab2,e4cb50b7c3e3b25e57efbb50f3477a6b,f27748eb814b15076eeccbafc284c6d0,237,225
139,1484,1715200622.479238,18,1486,3687,7.956269,11e4db128b8d5780c2d0b48b760e22ce25e64c47fc989d3b8c302df5f8be5094,2bb83efa568f798f32c1f82d543eb768,ab6ae52555cff8ae86b4bf491fb90550,240,124
142,1514,1715200692.249946,31,1516,5388,7.966468,745681e0c67d7c6cc651c1733e6a1afc9a08d5fd3144b2d29a7bab22f5f72503,2e22317bda74507f1a069436b0a3b201,760e45778d8a21d7e8f5574d7a8b028c,200,202
143,1526,1715200695.756166,13,1528,1409,7.856106,c0d6c0035ca9c75794e224aea3b1fe9754efc8ee87dcef5c87f1478d452de029,def291e30d402178a19c1dfbc6306bd5,050b391ed733774d5048976cafa1cdf8,137,101
144,1538,1715200753.11152,18,1540,4093,7.949063,c295be1a4bcabb6086ebc6c1d86a0bc14af98b1efda03262918a53d67f6a3a47,4c75b8a94f2b7854bcc5c44776f2c97d,858112a19d4497c276692ffdb3e3a9f0,247,193
145,1548,1715200760.270419,6,1550,2985,7.936579,c92a0ebf8517f654924f45a84f131d7658ed6557cc1c163ec75c385950577e17,26220990d49c7c6fb1af3ec647aa55f4,b6366da0f24ede10b9ca562ef52bea0c,0,252
152,1624,1715201064.053897,4,1626,3261,7.938521,56882f28a0f2c9f19f244ab7fb5c028d75640034e0524d8c625e612d76dd6408,3a605777dd0b67a05c7d1787732f43ea,9631c5441c400e86812f70b699d78c41,65,47
155,1656,1715201136.732419,25,1658,1873,7.897278,0f47e037d89fd21dd602398fcf81a955bcd7f4902303625a44b1aa75511d5030,f6ce05d0f6b84f79650424ad97af39cc,71d20f57572767a6dd9ec113118eb50f,165,143
156,1666,1715201163.473205,15,1668,1828,7.899619,572dfaab4cd0b196493b1b018213a01d51dda59f4a69c65475a0d8c0a0b3f9d5,7a8688a040d013d19957ad8cfc53363f,fd01f1bd7c3e8fecffea1a1da497f098,49,127
158,1686,1715201199.350339,10,1688,2516,7.929002,fc77db6dc10e55b360adc1d5ad5c3989fb5a212fd8681c53581f06f74a7dad0b,33b5a675a5ee8de307690d0ce5807e88,f0671c56a7992bd2135d1e228e95d797,5,211
163,1742,1715201321.090542,24,1744,4727,7.964083,82a298a196c5d041e6b1f938041d96a5e41712320a9832b6f690660409919402,7c3c361655abca9e4cd5220c6f87f462,780149e3c4f32a227b327f0b49c0ed64,222,202
165,1768,1715201457.718822,26,1770,1280,7.840271,8640737a5f01366cdd151165cc717ddb5bdc282e079084aa30f52ba3e259ef81,9f4a21986d63d2fba136ec844afd4dd1,c0cbeac11ea31af09b82502113265e84,104,220
171,1830,1715201881.8664,36,1832,1301,7.865015,e1e215522f7b3fbb2a94097e9eefea782e2e67fb917b1829f9ee061e98f1f7dc,b16f0d690288aaaee07df8b697967a48,54d4221c64880349cd9377f72d5cc575,236,186
173,1850,1715201974.832283,20,1852,1471,7.862327,06be394ca82cb2b258ce7425b77c9fb508429e8e6ffca86f78de32edca5b7da8,9d207c27f1ad55b6bd5d819a96ae0be4,9ea05c3e3be352a800d1287cd811a1fd,152,234
174,1860,1715202045.368387,20,1862,3985,7.951163,ca776b82fbeac23004a78c2613479ffeb34a893e1b4a0de855e5e0e43e61f738,75d8c78c219ce50e89fb5e15f911743a,6e00511f602cea22ac131be0938e75dc,133,201
175,1870,1715202107.223865,39,1872,3743,7.95011,f1b8727d91dbf302746aa99f72589b2c5c7c1a7525518907b4a4ea3910a2f2d0,40462fb4d832bfeecf91f3cdd4aec1db,45a309dc8e942425f35b27927f7772b5,243,191
177,1892,1715202151.069707,21,1894,4391,7.956044,a13ad5fe76bc61d431e7cf5c0d595172b5ec3879fb19068143db1150d70f1063,b8b4558f1d2e371b3cd5faab78dde2f5,342ade78c72d80bbec62df1adbd51890,27,217
178,1904,1715202207.309421,26,1906,2089,7.894462,2edc2f6fba5132d9705f1cf04932f74c68175e9628d86e5c02314b8364f9fa62,555ef3affb9fce624381579c5626dc18,3b812e5aea7ac858f99354681d5eed88,96,20
179,1914,1715202250.459432,11,1916,4051,7.960351,56f0fb2570421ef76343448b3712b4f1f7614de55627b32fc12b103cc68da557,5bc03a2d942e40ba12818d376a75405d,30bcf8f0286e9cf7c76dab695393c945,37,157
185,1976,1715202543.186774,25,1978,3491,7.951157,8b6753c3d9cb0025a696991d2e08c6aabe5f46f3131633770bf056812aa1d25f,fffbfc257370e4a4ca6615788c619949,4f767dc41a2cf112f7b1405b90b02add,192,102
187,1996,1715202641.860462,40,1998,5358,7.961701,ea3f74f58f4da66412def6591ac2dcacaa7621e784bafe627014d8b696d38527,866a585fe7ee4b646a659fadacb5622d,4dd59d258efa82a81b45b83e71e9d954,4,154
188,2008,1715202745.633065,26,2010,2443,7.920771,b95e557716518b56c9e31472e299a5b7de85c76a8301289d6be9a7b7ab3b62d1,9d825efeab9f9c724039421bb3d1bf88,d55b91552fb464b28c47c673cfaee1a2,13,47
202,2170,1715203765.585074,16,2172,2379,7.911605,5c2657bfc4155b4ec6e8428efedc5ae4ad1570d8b5e96a588e09d40ccd08926a,64095e9351121a6f10027cd7a49388e2,ffb64ace828d19615f818ab6958343ba,251,63
204,2192,1715203807.495793,18,2194,3005,7.941909,07eef6718aa8557eef33edaef9ef80d0bf671ec9c4b234eeec6e555f0adad1b4,9f710eb53b9cfca39060f383574f104c,a309e630dcccdc2edc3fea645fd73450,28,18
206,2212,1715203894.055028,10,2214,2815,7.93732,30ddc8f95e589673c6297753b3877192f45bb579a7a8bb2e861a13f4e8185d59,87393645182d2cdca9878818fda306d7,f79d616d276891071f6d6b81d0b47736,213,117
207,2222,1715203935.611009,17,2224,4453,7.951484,7f7e209c1af4dbf4b55abb64ec15bdf212bd77f5954b3b16955acc13b53877ee,00dee5f9c8ab017025b7463d3ecd8ff2,bf0f8398d535744b1713bcc5c2530009,223,145
208,2232,1715203941.744406,38,2234,2912,7.937471,eea020afa7da77d5bc4bfb44d11f95f3271d4c3fd89db05eb5c5edcec3aadf93,04eb83c3e5847b4a1f80f9a93912957f,ece15ddc9c770affbf38cfe4ab64fa58,184,2
209,2242,1715204265.793922,22,2244,1403,7.883418,cdcb04b8f8de98b21c2d06d3b34a8bbd577f603602ce53141a3aa621acf18048,76b431c4da769e914e85ded4191c0d22,3ca917b56b1742fd05ca55d3ff92665e,182,184
210,2252,1715204272.52224,11,2254,3372,7.947065,1ab39ed03e4bbec3e935df0a009e627ff4f3df93d93b836ecc9c0f6dc8b32df5,a52cf6927eb485916c5564d2e32a482c,52690f066169f9b39715c22245e93c94,118,2
211,2265,1715204442.716565,40,2267,1304,7.82416,fb0e854d73eec8d356215943c4d7848a4ed99e7c58473676fd805a696dcff690,2c522e60bd4cc2bc7f4682df6de1c6d1,68d96c614dd6c68c5f9e6a0775d7c8e7,213,79
212,2275,1715204502.821513,3,2277,2765,7.934358,31e3de30168275267c3003388f1bf2678d5332c957bdb4ea6d2565e35b9d2d1b,4c82c586541204ff9457e69817fc9dc5,90428a8e3326dbc3654a17f63d4c3cfa,44,92
216,2321,1715204706.001717,36,2323,1479,7.879529,3cab46432550e366fa8024bec7f68b9a1c8952c61d978f9f44b6bacce8cc0d83,3944ba6a374c826a06709af8ba8fbccb,8f23a84f8b6998e3308c2550d896c555,137,245
218,2341,1715204715.454853,8,2343,4540,7.957739,bee873c0a2a50216552c55f73998e38a9a64764d22e3aa0e9a335cd8897174e5,03202c416fc0a93c606b5328ac43e087,d38ff1de16c56f876ff7548eed2f4dce,109,15
220,2361,1715204838.106885,5,2363,2493,7.913583,b9f50171210ad8f2711ccec3c89aa66e12f7b806d164a1bc1cb97265e3890a17,e4da8907b40cd5e28355b2807cd7855c,2f383133aff447fe78e8721ac585aba1,204,190
221,2371,1715204839.047559,1,2373,5110,7.963832,e7bb55763a68667fa20ed6a2e8d5657e06538f7d9fbd345e715bcdf4e9d5e794,4f7058eb13f3878f2fb2c4e3d81a5f9e,a77e4a351441b2790c00cc4c3acbbea1,58,18
222,2383,1715205055.728616,7,2385,3546,7.949334,798afc0356b893f4a7dff6a051024346a7e910494acfdb6f16e7e5d69141bc57,d530a2017125ebe0ba62e6282cc2b1dd,d6b195bc790dabee79ff64fff228dc20,71,245
224,2405,1715205206.663893,13,2407,2831,7.934499,98634da616d4b64736bec18d9f0c697370d87b8871fe49358925182958cc3c0a,29448c3b765dec8e5497da6bf059de9f,9b3ae393506e5081dc36508a0cc59b59,151,45
225,2415,1715205269.218566,33,2417,1487,7.877574,0c5a8cfb23fa905091104f14d414d083f4fdf0958d13ce49b4978a13ff7fd118,65d2f8d335e442699afb65662437458f,9aaf122ae79c977a1fcbfbed8eb0a744,138,76
232,2495,1715205675.546729,21,2497,1950,7.903766,3873600cb484a670a27f21c32c3a335955976794c29a30b9231d852f290a0f25,70b0677473fca94c07ca5562e184b21d,cd23f1b12584276d748714fdab85a71e,59,39
234,2519,1715205750.819325,28,2521,2668,7.9307,1cae50d2ab8734e6b1199b095f16f25276ad7620782bf582dd742a0c6fdded45,8be7c78d3e71b0a54673c273c221cf5c,59ec2708bb255345f54da975a538cf39,87,111
236,2539,1715205872.230986,1,2541,3104,7.949647,b4f4e6bcd134a8683d8019195e020f6af1d33e8fa720a2ea403ed4dda450cde6,b9b01503929ba042370a0b8865b24203,ba66303126a2f9af936890788fc9c637,236,184
239,2569,1715206129.607206,15,2571,4554,7.954319,2b17103b3de8b6f298a8174398348d50db44b50c93ece371b9ec36504f8540be,a464a28a16d30a4fe065c87ca150dd7c,63fa0ac429fa3ad56dbe28bb73f92ff0,250,172
247,2655,1715206623.805194,33,2657,2628,7.932894,ed5809397ae8f3acffbf656bcea95e2791a1aa0eae333b6d137deed1d46fe9a7,f65ab97ee15c76bf24e80ce0a03c64e1,e3b004c35838d741dc3ebf4fd9382426,245,155
249,2675,1715206666.39383,1,2677,2813,7.930262,39e6f883904b7dc57570d4af5bc0c65617401792255e8c66a7d4c0f67d9df2c6,419b0ded0ff109685a88bfc59acf54ef,4e4624117d7f8c36e694fb2f73b209c7,133,141
250,2687,1715206848.391922,29,2689,5491,7.966412,73c4aa9fe7543600ce6f9c7b339f5c206927c425c7d7ea41559a8ca9fe0c875d,b09094f4b5f959d9f9248fc231802387,46f37b6053c6ebe9a969d703132e9514,12,46
258,2775,1715207359.628794,14,2777,2157,7.917085,4a63203b4335a6af4b0bb05af97dbd4d8860d3315f6706c1602b66a908e54284,625343397f86f4ff6347634527e6864d,9937740f70b59e24f064b7b9a871f2a2,172,32
259,2785,1715207368.794658,4,2787,2479,7.925611,695fae69af8e5affc0bae310ff1aa0dfa8a5d5dc8f48982501692a5101524932,a30f7bab333274303bcd9c0f25101597,e6b3335e6a70705dd150f017894cde58,53,11
260,2797,1715207493.70315,26,2799,4582,7.954248,c44b2b38ac459038919ee4a5d6d458d83eb8360e7bb6064320687f711dd4ffdc,62d0e061ad449f1eba9bfad41f0d95fd,4ee9097604cec1eaf5e36761e7be7616,171,15
266,2858,1715207647.729388,32,2860,2329,7.906611,a1c5ef55f61bdaf6c87a06a482ebd7ffeb96dd2fba039fd6c1c9fa0107f78aa4,079dec5bced2f1fdd56ce78df8175bde,a4b552f2811cb4ac9761a43d148494e6,177,207
270,2906,1715207988.187823,30,2908,4840,7.95608,29fc82544cc470aa0064bd866a10835aa050c7bc3468e386dd8a6abc70f73d54,8ee26050ba4ed1b6ea1933538214fc64,97390a25dbf1e9b02b7bfecfc57d20d4,187,29
271,2918,1715208054.969351,4,2920,4431,7.960678,561bccddb86dae27b339c32a20e03123b617a7441eb8689bf0612cb4e41cb45a,c5ca945f77599a3d65f87cbea70717be,c776f6ceea8f8ac5d086ceb8a6c5b964,154,192
276,2972,1715208526.630921,10,2974,4483,7.952324,be35320f3bae002bc4eefb21d29b13ef3979370ed5ac2dcab46e71de694fda2b,bb3e153d6b9dc238bcdf68599bc4c664,e93681abb5d68267f4f8ec0bd74f79ab,142,116
278,2992,1715208572.91803,34,2994,3382,7.946483,6e9220b0e1b7b3cbdbc8a38cd781f505f4dfe499628937e1ab4e79a2d4949d87,b38349963e1557a1eaaca53babf8849b,c5a35ba9fd88c03b077b18a4d3e596c2,100,40
280,3014,1715208620.521855,23,3016,3766,7.955369,4fa2180c531303ecca537ce757fadb9c2384deb111dd4fc353598e88f54b3bab,26bd053a48939bf5d8059bd34d4ea960,63e76b516f644314f33868a7ffebdbc8,125,209
285,3066,1715208698.279784,28,3068,4653,7.963962,fb7daea50f095aa248ef805d2897742d1a861ff21db6dea007197fe32c5e7c91,e060e4d68464031346085dba640b55a6,87a155a6ca791b6b083702f97607cf80,55,85
289,3110,1715208911.531843,6,3112,2856,7.933167,04f14aab01c04b5ea495a4ae61ab57ab41063cd198a72bb53e48b1ed43f5c1e9,b666a9cd377de84438c1f9d94d872be9,03ada32becc0aa4002be53374030713e,161,85
290,3122,1715209043.2318,5,3124,3208,7.945504,49bc20f7897bc86362a16e0cdc8d8a958a83a4d6613ad68043bc27b061051a78,5824a35d522c1dfb23cb01961fdb733d,81da79db12a23c3bcc41257ae11d985b,121,203
292,3144,1715209164.675528,5,3146,5124,7.968094,9c64f7a7369fce160447a97c462c56778b2e2a9365db34ad818c3bd2296a1783,923c851f19b257292ddbcce2d0998315,c7d17d421961464f60c41a4170883f30,231,171
293,3154,1715209216.167872,25,3156,4315,7.957335,2b05f70785fee41f7220c3908163df4986a0be2af7683489631728b2926d9ebc,0bc3676d37142878e908e8b880b82db7,7751ce3afed8e7459cec058932442852,128,240
294,3164,1715209259.746205,16,3166,3805,7.952677,3d039b22f698f5ff7850b9f91a90a5ae3eac9e07f373b886199391c355946d80,aa57548e0044f7af2bbe54e7f270cc54,961d9eacd243d2ea0296edc0b0c9ac9a,44,32
295,3174,1715209380.409294,14,3176,5280,7.961131,b5f208d56fa8d7d9e58b756019a6c05d94e10c0ec6b2e7b8ecc02cb3c541e737,754fd70017b907de7eb65d58fb415a03,0065e692ba0ebb7adb2db4d107de3f5b,149,233
302,3249,1715210292.165604,30,3251,2289,7.920946,82c18fa536021098ab6fcdc9dee7845752847b3c1fe0f6031004519e83f1f620,f89bfb27e1645cfda5f781bb0685bcee,fec9fe2edb8cf4baa23ccd36eed6dbe0,153,121
304,3269,1715210404.273699,30,3271,4030,7.953076,8d44c37f96a54fca41f4c6335c210d2d756b3ee0c085fd53d8add2b4dbfa1b7b,37d914b808a1f84065d661abf3d4de53,561beccd0358954ceec5336486d60428,10,158
307,3299,1715210466.774581,38,3301,2055,7.918657,7bd3c2947b6d512e4692526dd065cb85164fd486b73e65d0ccef75597efd1a26,ef733b0a466cb5f7755b9fdf0062603a,b69801e30882fc0227fdfe7774cfbaa2,88,124
310,3323,1715210841.209002,3,3328,4956,7.964019,cd7ea7b6e2d083f1d3f98ba7774a2c0a071013b8ba8fbdb0b3318b85d4a23626,aa94031bbfee05e3b098adcbedb8a84e,c16d424e76572ddc5a9f5ca9723206b3,157,143
311,3336,1715210864.626079,32,3338,1392,7.863315,aa82aecec5bdeabf84d1768dc2cb9a30fbe7e749b77229774ca449d9019d05d7,9c2942340df80baa510a359fdc460f78,bdf44eb14765e49028876065dce983f2,223,155
315,3376,1715210995.836093,3,3378,2752,7.94116,2ec54dd2dbd155b6a5b081be28216915eafaecbc6a3d877dbf113456befa2e40,0ed6d84c65d2bbeadab5bacd8b14e0c0,f6536643e3cd36a3d5f8fa3a38debb6a,67,67
316,3386,1715211011.683328,1,3388,1529,7.874727,f5c1117befd4525fe87b0e571344fcf26f29330e7cc0bb525da6ba15c1e25c33,83a49cc0c22f28e9609d0133b4903398,e2f4bf3eba4bb947de47bd6c543b80ae,90,94
317,3396,1715211042.257214,10,3398,4568,7.962134,18b1ed87c6b982d48a81854dd8ed6680a239e08ece1dcc013657c2bd53d00a5c,bfae735aff81874fdcf77025b275c1ad,f04c7665111dc104775c01d3e85e3afd,242,124
